Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,30.060,30.140,29.800,30.025,787542,0.12,1
05.04.2023,30.360,30.580,29.795,30.015,1654262,1.15,2
04.04.2023,30.630,31.045,30.055,30.370,1454444,0.86,3
03.04.2023,29.500,30.860,29.295,30.595,2494157,-3.58,4
31.03.2023,29.730,29.750,28.860,29.305,2913433,1.45,5
30.03.2023,26.720,30.245,26.680,29.755,9721791,-10.2,6
29.03.2023,26.180,26.430,25.535,26.105,3272679,0.29,7
28.03.2023,26.375,26.825,25.900,25.900,2906529,1.83,8
27.03.2023,26.005,26.470,25.980,26.160,1901724,-0.59,9
24.03.2023,26.080,26.580,25.910,26.015,1672188,0.25,10
23.03.2023,26.440,26.655,25.720,26.380,1350550,0.23,11
22.03.2023,26.420,26.720,26.075,26.265,1902575,0.59,12
21.03.2023,27.200,27.280,25.860,26.120,3593176,4.13,13
20.03.2023,26.800,27.180,26.150,27.100,1053943,-1.11,14
17.03.2023,27.370,27.700,26.405,26.810,2888049,2.09,15
16.03.2023,27.180,27.300,26.350,27.300,2021457,-0.44,16
15.03.2023,27.655,27.760,26.600,26.925,2379330,2.71,17
14.03.2023,27.300,27.735,27.010,27.535,1589307,-0.85,18
13.03.2023,27.350,27.815,26.315,27.160,2648483,0.7,19
10.03.2023,27.355,27.735,27.010,27.390,1956089,-0.13,20
09.03.2023,28.475,28.475,27.920,28.045,794950,1.53,21
08.03.2023,28.000,28.480,27.825,28.335,1408541,-1.18,22
07.03.2023,28.900,29.220,28.070,28.290,1425498,2.16,23
06.03.2023,29.000,29.180,28.525,28.855,1246683,0.5,24
03.03.2023,28.080,28.815,28.000,28.740,1518399,-2.3,25
02.03.2023,28.010,28.315,27.745,27.825,2554118,0.66,26
01.03.2023,29.350,29.355,28.130,28.295,1713137,3.73,27
28.02.2023,28.800,29.455,28.430,29.055,3695950,-0.88,28
27.02.2023,28.400,29.150,28.395,28.800,1717354,-1.39,29
24.02.2023,28.990,29.080,28.270,28.400,1878429,2.08,30
23.02.2023,27.990,29.100,27.990,28.800,2228394,-2.81,31
22.02.2023,27.615,28.105,27.150,27.950,3119358,-1.2,32
21.02.2023,28.900,28.900,27.630,27.700,3742275,4.33,33
20.02.2023,29.220,29.635,28.615,28.825,1566714,1.37,34
17.02.2023,28.800,29.370,28.500,29.030,2087373,-0.79,35
16.02.2023,29.950,30.010,28.820,29.150,1434538,2.74,36
15.02.2023,29.585,29.945,29.360,29.600,743033,-0.05,37
14.02.2023,30.000,30.215,29.400,29.565,1666614,1.47,38
13.02.2023,29.680,29.845,29.360,29.725,1145251,-0.15,39
10.02.2023,30.900,30.900,29.235,29.680,3499271,4.11,40
09.02.2023,31.480,31.930,31.100,31.240,1360724,0.77,41
08.02.2023,31.000,32.025,30.990,31.390,2181402,-1.24,42
07.02.2023,31.140,31.200,30.365,30.880,2235740,0.84,43
06.02.2023,31.035,31.800,30.890,31.125,3233754,-0.29,44
03.02.2023,30.890,31.730,30.500,31.505,5374855,-1.95,45
02.02.2023,30.100,31.300,30.030,31.070,5367110,-3.12,46
01.02.2023,30.000,30.125,28.955,29.555,2212486,1.51,47
31.01.2023,29.500,30.200,29.250,29.960,2839795,-1.54,48
30.01.2023,29.900,30.085,29.500,29.690,1396128,0.71,49
27.01.2023,30.200,30.350,29.720,30.125,2295170,0.25,50
