Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,76.25,76.25,75.00,75.10,53225,1.53,1
05.04.2023,75.30,76.45,74.70,76.00,30515,-0.92,2
04.04.2023,75.60,75.60,74.75,75.05,37717,0.73,3
03.04.2023,76.60,76.65,75.00,75.00,37435,2.13,4
31.03.2023,76.30,76.65,75.50,76.10,51322,0.26,5
30.03.2023,75.00,75.90,74.80,75.35,56867,-0.46,6
29.03.2023,75.70,76.35,74.80,75.00,80116,0.93,7
28.03.2023,75.00,75.65,74.90,75.00,85059,0.0,8
27.03.2023,75.05,75.80,74.90,75.10,46422,-0.07,9
24.03.2023,74.75,76.35,74.75,75.05,93908,-0.4,10
23.03.2023,75.90,76.00,75.20,75.40,38417,0.66,11
22.03.2023,75.70,75.95,74.80,75.45,35573,0.33,12
21.03.2023,73.00,75.30,73.00,75.00,105894,-2.67,13
20.03.2023,73.00,74.00,71.75,73.00,58300,0.0,14
17.03.2023,75.50,76.15,72.30,73.05,131588,3.35,15
16.03.2023,75.45,75.80,74.10,75.45,57500,0.0,16
15.03.2023,75.60,75.90,74.30,75.15,79440,0.6,17
14.03.2023,77.50,77.50,74.55,74.80,47737,3.61,18
13.03.2023,77.60,77.60,75.55,76.75,88059,1.11,19
10.03.2023,78.60,78.90,77.30,77.50,48009,1.42,20
09.03.2023,80.15,80.85,79.55,80.10,40212,0.06,21
08.03.2023,80.00,80.90,79.45,80.05,70183,-0.06,22
07.03.2023,80.40,80.70,79.70,80.10,33446,0.37,23
06.03.2023,80.40,80.65,80.00,80.30,127841,0.12,24
03.03.2023,79.40,79.85,78.65,79.60,22582,-0.25,25
02.03.2023,80.50,80.55,78.60,78.95,51641,1.96,26
01.03.2023,80.00,80.70,79.75,80.40,72273,-0.5,27
28.02.2023,80.00,80.30,78.80,79.85,44188,0.19,28
27.02.2023,78.90,80.60,78.70,80.25,36555,-1.68,29
24.02.2023,79.00,79.70,78.45,78.90,31672,0.13,30
23.02.2023,78.65,79.00,77.50,78.45,38848,0.25,31
22.02.2023,79.00,79.00,77.90,78.30,34059,0.89,32
21.02.2023,79.25,79.45,77.65,78.80,44815,0.57,33
20.02.2023,80.00,80.10,78.80,79.25,34261,0.95,34
17.02.2023,80.50,80.50,79.50,79.75,37663,0.94,35
16.02.2023,80.70,80.90,79.45,80.50,56345,0.25,36
15.02.2023,80.05,80.80,79.00,80.50,62136,-0.56,37
14.02.2023,80.05,80.50,78.50,79.10,58837,1.2,38
13.02.2023,79.00,79.95,78.55,79.55,64663,-0.69,39
10.02.2023,81.65,81.65,78.35,78.70,86794,3.75,40
09.02.2023,78.00,81.65,78.00,81.65,185729,-4.47,41
08.02.2023,78.45,78.85,77.85,78.15,35745,0.38,42
07.02.2023,77.85,78.40,77.00,78.20,42680,-0.45,43
06.02.2023,79.00,79.00,77.05,77.30,49047,2.2,44
03.02.2023,78.50,79.80,78.15,79.00,55989,-0.63,45
02.02.2023,76.90,78.90,76.50,78.15,94449,-1.6,46
01.02.2023,77.00,77.00,75.75,75.75,80663,1.65,47
31.01.2023,74.05,77.00,74.00,76.15,102063,-2.76,48
30.01.2023,74.05,75.10,74.05,74.05,32212,0.0,49
27.01.2023,75.25,75.60,74.50,74.65,56268,0.8,50
