Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %
03.04.2023,47.34,47.99,46.65,47.00,381720,0.72
31.03.2023,48.00,48.20,46.55,47.11,387621,1.89
30.03.2023,47.23,48.08,46.49,47.78,635132,-1.15
29.03.2023,46.15,47.24,45.27,46.91,547706,-1.62
28.03.2023,46.00,46.40,45.37,45.37,387687,1.39
27.03.2023,46.52,47.24,45.14,45.46,379394,2.33
24.03.2023,46.42,46.44,44.84,45.44,438376,2.16
23.03.2023,46.70,46.70,44.00,46.45,629219,0.54
22.03.2023,47.00,48.48,45.51,46.68,887693,0.69
21.03.2023,47.00,48.20,46.50,47.50,652428,-1.05
20.03.2023,44.00,46.75,43.60,46.71,533173,-5.8
17.03.2023,46.97,48.48,44.53,44.90,1300333,4.61
16.03.2023,45.00,45.95,42.60,45.55,1195692,-1.21
15.03.2023,47.40,47.89,44.05,44.10,951175,7.48
14.03.2023,47.80,48.33,46.71,47.37,522220,0.91
13.03.2023,50.60,51.54,46.73,48.15,1233142,5.09
10.03.2023,51.20,51.28,49.84,50.66,605122,1.07
09.03.2023,53.00,53.00,51.88,52.16,224003,1.61
08.03.2023,52.50,53.28,52.02,53.04,219417,-1.02
07.03.2023,53.74,53.74,52.60,52.60,196887,2.17
06.03.2023,53.40,53.94,53.04,53.78,258552,-0.71
03.03.2023,52.52,53.50,52.52,53.00,281314,-0.91
02.03.2023,55.00,55.08,51.62,52.24,1110012,5.28
01.03.2023,55.00,56.60,54.76,55.54,430067,-0.97
28.02.2023,54.30,55.12,53.44,54.66,376781,-0.66
27.02.2023,54.96,55.24,54.10,54.80,175060,0.29
24.02.2023,55.26,55.50,53.44,54.06,310075,2.22
23.02.2023,53.52,55.98,53.50,55.76,352998,-4.02
22.02.2023,55.44,55.46,52.94,53.40,345229,3.82
21.02.2023,56.10,56.20,54.80,55.34,191044,1.37
20.02.2023,55.68,56.50,55.28,56.10,155123,-0.75
17.02.2023,55.50,56.00,55.02,55.90,171972,-0.72
16.02.2023,56.20,56.48,54.84,55.60,321139,1.08
15.02.2023,54.50,56.36,54.16,55.94,300505,-2.57
14.02.2023,54.00,55.62,53.20,54.88,635916,-1.6
13.02.2023,56.44,56.88,51.02,53.72,1409364,5.06
10.02.2023,57.16,57.98,55.44,56.44,659030,1.28
09.02.2023,60.48,60.48,57.30,57.42,538558,5.33
08.02.2023,58.46,60.10,56.88,59.66,628547,-2.01
07.02.2023,58.00,58.46,57.20,57.60,263694,0.69
06.02.2023,57.60,58.90,57.02,57.50,464800,0.17
03.02.2023,60.70,60.80,56.60,57.62,1192464,5.35
02.02.2023,63.20,63.80,60.12,60.50,1220793,4.46
01.02.2023,67.00,67.98,59.42,59.42,1861634,12.76
31.01.2023,63.26,67.24,62.80,67.24,763218,-5.92
30.01.2023,64.00,64.56,62.26,63.84,328844,0.25
27.01.2023,65.40,65.40,64.22,64.32,316344,1.68
26.01.2023,64.80,66.34,64.50,64.96,505496,-0.25
25.01.2023,64.42,64.62,63.16,64.48,387260,-0.09
