Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,518.00,523.00,515.00,519.00,8390,-0.19,1
05.04.2023,520.00,523.00,516.00,516.00,4279,0.78,2
04.04.2023,528.00,530.00,519.00,520.00,6567,1.54,3
03.04.2023,535.00,536.00,526.00,528.00,13498,1.33,4
31.03.2023,533.00,539.00,528.00,530.00,6925,0.57,5
30.03.2023,532.00,537.00,528.00,530.00,8570,0.38,6
29.03.2023,536.00,542.00,531.00,535.00,7309,0.19,7
28.03.2023,534.00,542.00,530.00,531.00,10204,0.56,8
27.03.2023,550.00,557.00,532.00,534.00,14432,3.0,9
24.03.2023,545.00,564.00,535.00,541.00,22384,0.74,10
23.03.2023,511.00,545.00,511.00,540.00,19397,-5.37,11
22.03.2023,501.00,511.00,499.00,507.00,12957,-1.18,12
21.03.2023,513.00,513.00,500.00,501.00,12358,2.4,13
20.03.2023,535.00,542.00,496.00,513.00,30807,4.29,14
17.03.2023,542.00,553.00,535.00,535.00,168485,1.31,15
16.03.2023,534.00,542.00,521.00,538.00,32949,-0.74,16
15.03.2023,508.00,535.00,499.50,531.00,44578,-4.33,17
14.03.2023,488.50,509.00,488.50,503.00,12871,-2.88,18
13.03.2023,498.50,503.00,478.50,485.00,15693,2.78,19
10.03.2023,502.00,503.00,493.50,494.00,6643,1.62,20
09.03.2023,514.00,514.00,504.00,504.00,8917,1.98,21
08.03.2023,513.00,517.00,510.00,511.00,6781,0.39,22
07.03.2023,517.00,520.00,510.00,512.00,8357,0.98,23
06.03.2023,504.00,517.00,502.00,514.00,7997,-1.95,24
03.03.2023,493.00,505.00,493.00,505.00,8339,-2.38,25
02.03.2023,496.50,497.50,488.50,490.00,10319,1.33,26
01.03.2023,500.00,505.00,494.00,497.50,16044,0.5,27
28.02.2023,493.00,503.00,492.00,497.50,10673,-0.9,28
27.02.2023,488.00,498.00,488.00,493.00,6157,-1.01,29
24.02.2023,495.00,498.50,486.00,487.50,12049,1.54,30
23.02.2023,503.00,503.00,491.00,494.50,12995,1.72,31
22.02.2023,502.00,503.00,490.50,496.00,9419,1.21,32
21.02.2023,507.00,507.00,498.50,501.00,6627,1.2,33
20.02.2023,505.00,515.00,503.00,504.00,6513,0.2,34
17.02.2023,498.00,511.00,497.00,509.00,13899,-2.16,35
16.02.2023,496.00,504.00,492.50,496.00,8372,0.0,36
15.02.2023,502.00,502.00,491.00,493.50,7200,1.72,37
14.02.2023,500.00,510.00,495.00,498.00,5429,0.4,38
13.02.2023,500.00,509.00,494.50,496.00,8088,0.81,39
10.02.2023,525.00,525.00,499.50,500.00,23477,5.0,40
09.02.2023,520.00,528.00,515.00,525.00,10986,-0.95,41
08.02.2023,510.00,523.00,508.00,516.00,13368,-1.16,42
07.02.2023,520.00,523.00,507.00,508.00,23367,2.36,43
06.02.2023,508.00,522.00,507.00,520.00,21944,-2.31,44
03.02.2023,508.00,509.00,499.00,508.00,14212,0.0,45
02.02.2023,507.00,514.00,500.00,504.00,17365,0.6,46
01.02.2023,500.00,514.00,496.00,497.00,16795,0.6,47
31.01.2023,489.00,501.00,484.50,499.00,18567,-2.0,48
30.01.2023,490.00,493.00,486.50,489.00,8335,0.2,49
27.01.2023,488.00,492.00,486.00,490.50,11638,-0.51,50
