Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,326.00,327.80,322.40,326.00,9177,0.0,1
05.04.2023,320.80,329.20,320.00,322.60,30247,-0.56,2
04.04.2023,320.00,328.80,318.60,320.80,25143,-0.25,3
03.04.2023,310.00,316.20,310.00,314.00,18760,-1.27,4
31.03.2023,310.00,314.00,307.00,308.20,22967,0.58,5
30.03.2023,303.80,309.40,302.00,308.40,18217,-1.49,6
29.03.2023,307.00,309.00,300.20,303.80,30632,1.05,7
28.03.2023,306.00,311.00,302.40,303.80,24281,0.72,8
27.03.2023,293.00,303.00,293.00,302.40,13726,-3.11,9
24.03.2023,303.20,306.00,290.80,297.80,37913,1.81,10
23.03.2023,307.20,307.20,295.00,305.00,26659,0.72,11
22.03.2023,306.00,306.00,299.20,302.00,11027,1.32,12
21.03.2023,304.00,308.20,300.80,305.20,22137,-0.39,13
20.03.2023,297.00,302.20,286.60,301.40,38179,-1.46,14
17.03.2023,298.00,311.00,292.00,299.60,81235,-0.53,15
16.03.2023,300.40,301.80,286.20,297.60,27077,0.94,16
15.03.2023,310.00,310.00,294.00,299.00,26093,3.68,17
14.03.2023,316.00,316.00,308.20,309.80,18813,2.0,18
13.03.2023,328.00,328.40,307.40,312.80,53845,4.86,19
10.03.2023,328.00,335.80,325.00,328.00,19566,0.0,20
09.03.2023,343.00,343.00,331.60,332.00,14593,3.31,21
08.03.2023,338.00,344.60,335.00,342.00,14365,-1.17,22
07.03.2023,339.00,346.00,337.00,337.20,16812,0.53,23
06.03.2023,331.00,340.60,328.40,337.00,18647,-1.78,24
03.03.2023,328.00,332.40,325.20,327.60,14670,0.12,25
02.03.2023,330.60,330.60,321.40,326.20,24098,1.35,26
01.03.2023,332.00,334.40,328.80,330.60,10814,0.42,27
28.02.2023,328.00,336.40,326.00,330.80,20121,-0.85,28
27.02.2023,333.00,333.00,326.80,330.40,6600,0.79,29
24.02.2023,333.00,333.80,325.20,330.00,12264,0.91,30
23.02.2023,328.60,333.40,323.20,333.40,17462,-1.44,31
22.02.2023,336.80,336.80,323.00,325.60,13367,3.44,32
21.02.2023,337.80,337.80,327.20,333.60,17257,1.26,33
20.02.2023,342.00,342.00,331.80,333.60,14441,2.52,34
17.02.2023,333.00,342.20,330.00,341.40,15721,-2.46,35
16.02.2023,336.60,336.60,327.40,332.40,22166,1.26,36
15.02.2023,326.40,337.40,323.60,336.60,17792,-3.03,37
14.02.2023,335.00,341.00,321.00,323.60,23463,3.52,38
13.02.2023,328.80,339.60,322.00,334.40,30395,-1.67,39
10.02.2023,347.00,347.00,325.40,326.00,28869,6.44,40
09.02.2023,338.00,350.40,338.00,344.20,23696,-1.8,41
08.02.2023,341.60,343.00,334.20,339.00,21268,0.77,42
07.02.2023,340.60,341.00,331.60,339.60,36227,0.29,43
06.02.2023,354.00,356.40,341.40,342.00,22931,3.51,44
03.02.2023,355.00,357.40,349.20,353.60,30518,0.4,45
02.02.2023,349.00,357.00,347.80,352.00,49419,-0.85,46
01.02.2023,351.00,355.40,345.40,346.60,67081,1.27,47
31.01.2023,342.20,351.60,340.40,351.60,76267,-2.67,48
30.01.2023,344.40,346.40,342.00,345.00,48267,-0.17,49
27.01.2023,346.80,351.20,345.40,347.00,28633,-0.06,50
