Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,7.050,7.086,6.926,7.022,1264706,0.4,1
05.04.2023,6.816,7.042,6.812,7.022,1913835,-2.93,2
04.04.2023,6.852,6.866,6.730,6.838,457758,0.2,3
03.04.2023,6.844,6.910,6.802,6.848,1213299,-0.06,4
31.03.2023,6.700,6.826,6.612,6.826,1663472,-1.85,5
30.03.2023,6.600,6.686,6.490,6.666,2061821,-0.99,6
29.03.2023,6.630,6.630,6.508,6.590,751104,0.61,7
28.03.2023,6.690,6.744,6.550,6.550,939447,2.14,8
27.03.2023,6.850,6.860,6.692,6.726,619785,1.84,9
24.03.2023,6.800,6.880,6.706,6.758,1537988,0.62,10
23.03.2023,6.740,6.882,6.688,6.832,1864369,-1.35,11
22.03.2023,6.610,6.736,6.562,6.710,1490029,-1.49,12
21.03.2023,6.462,6.640,6.454,6.614,1165177,-2.3,13
20.03.2023,6.490,6.542,6.366,6.500,1110431,-0.15,14
17.03.2023,6.530,6.584,6.410,6.450,2896038,1.24,15
16.03.2023,6.478,6.520,6.346,6.508,2542542,-0.46,16
15.03.2023,6.524,6.560,6.372,6.422,1195746,1.59,17
14.03.2023,6.692,6.692,6.430,6.440,1553992,3.91,18
13.03.2023,6.868,6.868,6.518,6.560,1374769,4.7,19
10.03.2023,6.840,6.898,6.752,6.784,1447403,0.83,20
09.03.2023,6.970,6.980,6.852,6.960,811386,0.14,21
08.03.2023,6.822,6.962,6.822,6.936,1159130,-1.64,22
07.03.2023,6.890,6.898,6.788,6.820,1226868,1.03,23
06.03.2023,6.820,6.884,6.750,6.872,1129216,-0.76,24
03.03.2023,6.790,6.790,6.720,6.776,486724,0.21,25
02.03.2023,6.830,6.830,6.682,6.750,1186645,1.19,26
01.03.2023,6.750,6.892,6.700,6.844,2847822,-1.37,27
28.02.2023,6.730,6.768,6.644,6.724,2745308,0.09,28
27.02.2023,6.792,6.822,6.730,6.736,871073,0.83,29
24.02.2023,6.872,6.918,6.774,6.792,717411,1.18,30
23.02.2023,6.990,6.990,6.812,6.902,1252380,1.27,31
22.02.2023,6.896,6.934,6.786,6.928,1708034,-0.46,32
21.02.2023,7.000,7.000,6.820,6.858,909419,2.07,33
20.02.2023,7.000,7.032,6.948,6.974,697866,0.37,34
17.02.2023,7.030,7.044,6.926,7.010,1432558,0.29,35
16.02.2023,6.912,7.040,6.910,7.010,2664104,-1.4,36
15.02.2023,6.880,6.900,6.830,6.878,885338,0.03,37
14.02.2023,6.800,6.900,6.720,6.830,1519913,-0.44,38
13.02.2023,6.870,6.880,6.706,6.750,991410,1.78,39
10.02.2023,6.828,6.880,6.710,6.860,2485404,-0.47,40
09.02.2023,6.840,6.840,6.700,6.792,1543728,0.71,41
08.02.2023,6.844,6.878,6.784,6.800,959400,0.65,42
07.02.2023,6.822,6.916,6.766,6.824,1557062,-0.03,43
06.02.2023,6.964,6.982,6.746,6.782,1003295,2.68,44
03.02.2023,7.048,7.048,6.884,6.912,831210,1.97,45
02.02.2023,7.038,7.068,6.926,6.972,2417768,0.95,46
01.02.2023,7.000,7.080,6.900,6.900,1519003,1.45,47
31.01.2023,6.930,7.046,6.902,6.980,3137001,-0.72,48
30.01.2023,7.050,7.050,6.874,6.940,1393220,1.59,49
27.01.2023,7.042,7.120,6.988,7.094,1276601,-0.73,50
