Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,85.00,86.76,84.20,86.18,437680,-1.37,1
05.04.2023,87.00,87.02,84.60,85.16,636284,2.16,2
04.04.2023,88.30,89.12,86.62,86.94,426295,1.56,3
03.04.2023,86.30,88.48,85.86,87.10,570850,-0.92,4
31.03.2023,85.92,86.02,84.78,85.46,634563,0.54,5
30.03.2023,84.00,85.90,83.82,85.48,589852,-1.73,6
29.03.2023,82.20,83.82,81.90,83.66,615774,-1.75,7
28.03.2023,81.00,83.24,80.80,81.66,535620,-0.81,8
27.03.2023,80.50,81.00,78.90,80.30,341088,0.25,9
24.03.2023,80.88,80.88,77.80,78.90,568444,2.51,10
23.03.2023,81.06,81.84,79.50,81.20,734019,-0.17,11
22.03.2023,82.96,84.10,81.20,81.20,531704,2.17,12
21.03.2023,80.00,83.16,79.88,82.66,834186,-3.22,13
20.03.2023,76.48,79.04,73.54,78.88,1105321,-3.04,14
17.03.2023,80.50,81.90,76.92,77.38,1782106,4.03,15
16.03.2023,81.56,82.54,78.04,79.88,1239312,2.1,16
15.03.2023,84.38,84.38,78.62,80.22,1485329,5.19,17
14.03.2023,82.42,84.12,81.40,82.72,700884,-0.36,18
13.03.2023,87.00,87.20,81.40,82.42,1344715,5.56,19
10.03.2023,88.00,88.00,85.00,85.62,879770,2.78,20
09.03.2023,91.40,91.40,89.60,89.62,410769,1.99,21
08.03.2023,91.00,91.30,89.80,91.10,350865,-0.11,22
07.03.2023,91.10,92.10,90.40,90.66,833915,0.49,23
06.03.2023,89.10,91.10,89.10,91.10,1043074,-2.2,24
03.03.2023,87.90,88.74,86.40,88.68,1265362,-0.88,25
02.03.2023,90.20,90.20,87.12,87.36,864603,3.25,26
01.03.2023,90.36,91.00,89.20,89.70,968446,0.74,27
28.02.2023,88.50,91.12,87.68,89.68,924877,-1.32,28
27.02.2023,89.14,89.14,87.44,88.22,401878,1.04,29
24.02.2023,87.88,89.12,87.40,88.14,787190,-0.29,30
23.02.2023,86.38,88.34,86.32,87.34,828158,-1.1,31
22.02.2023,88.34,88.34,85.90,86.20,762177,2.48,32
21.02.2023,89.90,89.98,86.72,88.34,858847,1.77,33
20.02.2023,92.06,92.18,89.20,90.14,957428,2.13,34
17.02.2023,94.50,94.50,92.10,92.10,691742,2.61,35
16.02.2023,94.00,95.20,91.04,95.16,1240369,-1.22,36
15.02.2023,92.96,94.36,92.66,93.86,403570,-0.96,37
14.02.2023,93.00,94.18,92.34,93.66,864170,-0.7,38
13.02.2023,92.86,93.26,91.74,92.70,488595,0.17,39
10.02.2023,94.12,94.12,91.70,91.84,1173521,2.48,40
09.02.2023,93.00,95.44,92.64,94.16,980838,-1.23,41
08.02.2023,91.98,93.04,91.40,92.44,567110,-0.5,42
07.02.2023,91.68,92.38,90.48,91.20,665691,0.53,43
06.02.2023,92.94,93.08,90.28,91.00,857663,2.13,44
03.02.2023,91.90,94.44,91.60,93.40,1301688,-1.61,45
02.02.2023,92.30,92.62,90.62,92.34,1303548,-0.04,46
01.02.2023,92.20,92.36,90.40,90.86,672088,1.47,47
31.01.2023,90.00,92.28,89.38,92.20,1338887,-2.39,48
30.01.2023,91.40,91.40,89.58,90.12,475977,1.42,49
27.01.2023,93.00,93.20,91.48,91.48,612224,1.66,50
