Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %
03.04.2023,6.280,6.392,6.236,6.260,1650438,0.32
31.03.2023,6.448,6.448,6.244,6.276,2434715,2.74
30.03.2023,6.000,6.450,5.952,6.394,2812798,-6.16
29.03.2023,6.090,6.090,5.896,6.000,1654930,1.5
28.03.2023,6.050,6.136,5.972,6.008,1141827,0.7
27.03.2023,6.120,6.150,5.952,6.016,757932,1.73
24.03.2023,6.202,6.228,5.990,6.056,2691345,2.41
23.03.2023,6.150,6.250,6.026,6.230,1263103,-1.28
22.03.2023,6.212,6.230,6.082,6.140,1748375,1.17
21.03.2023,6.048,6.252,5.996,6.212,2114630,-2.64
20.03.2023,5.940,5.986,5.756,5.982,1698396,-0.7
17.03.2023,6.120,6.176,5.830,5.860,4849932,4.44
16.03.2023,6.120,6.184,5.850,6.044,2563529,1.26
15.03.2023,6.238,6.316,6.060,6.104,1925737,2.2
14.03.2023,6.310,6.330,6.132,6.166,2766490,2.34
13.03.2023,6.542,6.578,6.250,6.336,2148660,3.25
10.03.2023,6.520,6.582,6.382,6.506,2233584,0.22
09.03.2023,6.532,6.690,6.510,6.624,2578860,-1.39
08.03.2023,6.690,6.690,6.420,6.516,2618158,2.67
07.03.2023,6.610,6.744,6.560,6.644,1912007,-0.51
06.03.2023,6.400,6.618,6.370,6.606,2204701,-3.12
03.03.2023,6.420,6.458,6.230,6.360,3525758,0.94
02.03.2023,6.712,6.712,6.444,6.444,3212237,4.16
01.03.2023,6.740,6.840,6.708,6.740,1333904,0.0
28.02.2023,6.660,6.736,6.568,6.680,3168714,-0.3
27.02.2023,6.660,6.706,6.610,6.660,661475,0.0
24.02.2023,6.800,6.800,6.574,6.624,1308306,2.66
23.02.2023,6.752,6.770,6.654,6.758,986388,-0.09
22.02.2023,6.802,6.802,6.628,6.660,1955792,2.13
21.02.2023,6.950,6.950,6.710,6.772,1152614,2.63
20.02.2023,6.890,6.920,6.820,6.920,660309,-0.43
17.02.2023,6.760,6.898,6.704,6.898,1969089,-2.0
16.02.2023,6.822,6.876,6.700,6.766,1146317,0.83
15.02.2023,6.818,6.818,6.684,6.752,783161,0.98
14.02.2023,6.750,6.828,6.712,6.766,1280195,-0.24
13.02.2023,6.880,6.906,6.674,6.736,2165491,2.14
10.02.2023,6.950,6.950,6.702,6.850,2226711,1.46
09.02.2023,6.920,6.970,6.826,6.916,1205183,0.06
08.02.2023,6.890,6.940,6.766,6.872,1488957,0.26
07.02.2023,6.800,6.880,6.682,6.800,1484858,0.0
06.02.2023,7.016,7.028,6.740,6.770,2491602,3.63
03.02.2023,7.232,7.232,6.976,6.986,1454778,3.52
02.02.2023,7.250,7.400,7.076,7.118,2613193,1.85
01.02.2023,7.500,7.554,7.030,7.030,3416878,6.69
31.01.2023,7.590,7.676,7.460,7.488,2628332,1.36
30.01.2023,7.560,7.624,7.382,7.590,1799554,-0.4
27.01.2023,7.550,7.626,7.480,7.560,1517697,-0.13
26.01.2023,7.610,7.628,7.420,7.554,1433689,0.74
25.01.2023,7.600,7.640,7.340,7.442,1747278,2.12
24.01.2023,7.500,7.920,7.490,7.584,3306317,-1.11
03.04.2023,6.280,6.392,6.236,6.260,1650438,0.32
31.03.2023,6.448,6.448,6.244,6.276,2434715,2.74
30.03.2023,6.000,6.450,5.952,6.394,2812798,-6.16
29.03.2023,6.090,6.090,5.896,6.000,1654930,1.5
28.03.2023,6.050,6.136,5.972,6.008,1141827,0.7
27.03.2023,6.120,6.150,5.952,6.016,757932,1.73
24.03.2023,6.202,6.228,5.990,6.056,2691345,2.41
23.03.2023,6.150,6.250,6.026,6.230,1263103,-1.28
22.03.2023,6.212,6.230,6.082,6.140,1748375,1.17
21.03.2023,6.048,6.252,5.996,6.212,2114630,-2.64
20.03.2023,5.940,5.986,5.756,5.982,1698396,-0.7
17.03.2023,6.120,6.176,5.830,5.860,4849932,4.44
16.03.2023,6.120,6.184,5.850,6.044,2563529,1.26
15.03.2023,6.238,6.316,6.060,6.104,1925737,2.2
14.03.2023,6.310,6.330,6.132,6.166,2766490,2.34
13.03.2023,6.542,6.578,6.250,6.336,2148660,3.25
10.03.2023,6.520,6.582,6.382,6.506,2233584,0.22
09.03.2023,6.532,6.690,6.510,6.624,2578860,-1.39
08.03.2023,6.690,6.690,6.420,6.516,2618158,2.67
07.03.2023,6.610,6.744,6.560,6.644,1912007,-0.51
06.03.2023,6.400,6.618,6.370,6.606,2204701,-3.12
03.03.2023,6.420,6.458,6.230,6.360,3525758,0.94
02.03.2023,6.712,6.712,6.444,6.444,3212237,4.16
01.03.2023,6.740,6.840,6.708,6.740,1333904,0.0
28.02.2023,6.660,6.736,6.568,6.680,3168714,-0.3
27.02.2023,6.660,6.706,6.610,6.660,661475,0.0
24.02.2023,6.800,6.800,6.574,6.624,1308306,2.66
23.02.2023,6.752,6.770,6.654,6.758,986388,-0.09
22.02.2023,6.802,6.802,6.628,6.660,1955792,2.13
21.02.2023,6.950,6.950,6.710,6.772,1152614,2.63
20.02.2023,6.890,6.920,6.820,6.920,660309,-0.43
17.02.2023,6.760,6.898,6.704,6.898,1969089,-2.0
16.02.2023,6.822,6.876,6.700,6.766,1146317,0.83
15.02.2023,6.818,6.818,6.684,6.752,783161,0.98
14.02.2023,6.750,6.828,6.712,6.766,1280195,-0.24
13.02.2023,6.880,6.906,6.674,6.736,2165491,2.14
10.02.2023,6.950,6.950,6.702,6.850,2226711,1.46
