Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,28.64,28.86,28.31,28.67,924027,-0.1,1
05.04.2023,28.90,28.95,28.47,28.64,1733283,0.91,2
04.04.2023,29.44,29.54,28.82,28.89,1244435,1.9,3
03.04.2023,28.72,29.73,28.60,29.05,2279900,-1.14,4
31.03.2023,28.85,28.93,28.37,28.52,2740049,1.16,5
30.03.2023,28.21,28.85,28.16,28.81,1883527,-2.08,6
29.03.2023,27.40,28.16,27.14,28.05,2571898,-2.32,7
28.03.2023,27.20,27.69,27.02,27.20,1807206,0.0,8
27.03.2023,27.06,27.25,26.64,27.07,2003466,-0.04,9
24.03.2023,27.10,27.25,26.20,26.72,2970485,1.42,10
23.03.2023,27.48,27.60,26.84,27.40,1760311,0.29,11
22.03.2023,28.10,28.42,27.48,27.56,3638720,1.96,12
21.03.2023,27.20,28.08,26.88,27.98,4979626,-2.79,13
20.03.2023,26.14,26.94,24.83,26.76,6687615,-2.32,14
17.03.2023,27.40,27.90,26.07,26.46,7553224,3.55,15
16.03.2023,28.20,28.41,26.60,27.20,6504885,3.68,16
15.03.2023,29.00,29.19,27.50,27.97,3716618,3.68,17
14.03.2023,28.74,29.16,28.38,28.83,3710846,-0.31,18
13.03.2023,30.03,30.09,28.61,28.91,4779884,3.87,19
10.03.2023,30.03,30.24,29.62,29.78,3209044,0.84,20
09.03.2023,31.13,31.13,30.50,30.50,1132275,2.07,21
08.03.2023,30.98,31.18,30.72,31.10,1436535,-0.39,22
07.03.2023,31.50,31.88,30.92,30.99,2011068,1.65,23
06.03.2023,31.10,31.65,31.03,31.60,1866027,-1.58,24
03.03.2023,30.50,31.10,30.50,30.97,1682985,-1.52,25
02.03.2023,31.08,31.20,30.40,30.53,1932705,1.8,26
01.03.2023,31.36,31.57,31.06,31.35,1240424,0.03,27
28.02.2023,30.57,31.35,30.38,31.08,3401497,-1.64,28
27.02.2023,30.80,30.80,30.26,30.56,1475570,0.79,29
24.02.2023,30.73,31.07,30.45,30.60,1734632,0.42,30
23.02.2023,30.02,30.72,29.99,30.56,2893901,-1.77,31
22.02.2023,30.70,30.70,29.86,30.00,2707454,2.33,32
21.02.2023,31.20,31.35,30.34,30.73,3470664,1.53,33
20.02.2023,31.90,32.00,31.08,31.35,2681664,1.75,34
17.02.2023,32.02,32.34,31.80,31.92,4132126,0.31,35
16.02.2023,33.11,33.69,30.66,32.36,7536227,2.32,36
15.02.2023,32.60,33.37,32.49,33.04,4025475,-1.33,37
14.02.2023,32.49,33.10,32.24,32.74,2652265,-0.76,38
13.02.2023,32.36,32.44,31.94,32.30,2229733,0.19,39
10.02.2023,32.60,32.73,32.10,32.13,3044669,1.46,40
09.02.2023,32.42,33.23,32.32,32.80,2446496,-1.16,41
08.02.2023,32.06,32.43,31.96,32.25,2492123,-0.59,42
07.02.2023,31.86,32.18,31.65,31.81,2297211,0.16,43
06.02.2023,32.57,32.58,31.74,31.84,2267171,2.29,44
03.02.2023,32.46,33.02,32.23,32.72,2771479,-0.79,45
02.02.2023,32.40,32.68,32.04,32.35,4419740,0.15,46
01.02.2023,32.20,32.33,31.71,32.16,3319063,0.12,47
31.01.2023,31.40,32.39,31.23,32.16,3985848,-2.36,48
30.01.2023,32.20,32.20,31.36,31.53,2894198,2.12,49
27.01.2023,32.89,32.96,32.18,32.22,2602101,2.08,50
