Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %
03.04.2023,35.20,35.76,34.94,35.20,1835118,0.0
31.03.2023,35.17,35.33,34.75,35.08,2373066,0.26
30.03.2023,33.56,35.07,33.52,35.02,3167452,-4.17
29.03.2023,32.40,32.94,32.25,32.80,1357775,-1.22
28.03.2023,32.30,32.65,31.93,32.23,1417518,0.22
27.03.2023,32.48,32.53,31.92,32.12,1123923,1.12
24.03.2023,32.81,32.86,31.82,32.00,1531239,2.53
23.03.2023,33.15,33.19,32.23,32.90,855171,0.76
22.03.2023,33.34,33.60,32.65,32.81,2031284,1.62
21.03.2023,32.25,33.30,31.93,33.25,3757522,-3.01
20.03.2023,31.60,31.72,30.55,31.63,3580027,-0.09
17.03.2023,33.22,33.45,31.62,31.73,3974596,4.7
16.03.2023,33.54,33.76,32.13,32.92,2065155,1.88
15.03.2023,34.15,34.57,32.90,33.18,1751842,2.92
14.03.2023,34.84,34.84,33.70,34.10,2209930,2.17
13.03.2023,35.36,36.00,34.41,34.85,1488483,1.46
10.03.2023,36.50,36.58,35.43,35.63,1226411,2.44
09.03.2023,37.10,37.14,36.60,36.84,846087,0.71
08.03.2023,37.05,37.25,36.75,37.13,979181,-0.22
07.03.2023,37.42,37.60,37.04,37.04,1110271,1.03
06.03.2023,36.66,37.60,36.61,37.46,2014463,-2.14
03.03.2023,36.31,36.56,36.03,36.56,401642,-0.68
02.03.2023,36.74,36.74,36.09,36.14,871879,1.66
01.03.2023,36.65,36.88,36.40,36.76,906777,-0.3
28.02.2023,36.17,36.63,36.00,36.62,1719159,-1.23
27.02.2023,36.20,36.30,35.87,36.19,839614,0.03
24.02.2023,36.10,36.45,35.92,36.21,1013274,-0.3
23.02.2023,35.04,36.06,35.00,36.01,970326,-2.69
22.02.2023,35.50,35.62,34.82,34.92,890712,1.66
21.02.2023,35.60,35.76,34.91,35.59,1120316,0.03
20.02.2023,36.00,36.15,35.52,35.72,948480,0.78
17.02.2023,36.09,36.45,35.74,36.10,1327989,-0.03
16.02.2023,36.11,36.22,35.26,36.20,1324988,-0.25
