Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,298.80,298.80,292.80,295.00,25070,1.29,1
05.04.2023,301.60,301.60,293.60,294.00,17183,2.59,2
04.04.2023,299.40,302.60,296.40,298.80,44883,0.2,3
03.04.2023,297.00,302.20,293.20,300.00,29811,-1.0,4
31.03.2023,299.00,299.00,290.20,291.80,65735,2.47,5
30.03.2023,287.60,299.20,287.40,297.80,62049,-3.43,6
29.03.2023,288.00,293.60,283.80,293.40,59301,-1.84,7
28.03.2023,277.00,288.80,275.20,286.00,82278,-3.15,8
27.03.2023,272.00,275.80,269.00,272.20,52940,-0.07,9
24.03.2023,273.60,274.80,269.40,271.20,91881,0.88,10
23.03.2023,272.00,275.60,271.00,274.60,65064,-0.95,11
22.03.2023,271.00,277.00,270.20,272.80,35745,-0.66,12
21.03.2023,265.20,274.80,265.00,274.60,41108,-3.42,13
20.03.2023,265.00,267.00,253.20,264.60,59653,0.15,14
17.03.2023,280.00,282.00,265.60,270.60,157572,3.47,15
16.03.2023,280.00,282.00,270.40,278.20,211214,0.65,16
15.03.2023,282.00,285.20,279.60,280.00,258863,0.71,17
14.03.2023,283.80,284.60,280.00,281.80,124887,0.71,18
13.03.2023,288.40,290.80,279.40,282.20,185588,2.2,19
10.03.2023,292.00,292.40,285.40,287.20,72856,1.67,20
09.03.2023,292.80,302.20,292.80,298.00,51484,-1.74,21
08.03.2023,296.00,301.80,294.00,298.60,44800,-0.87,22
07.03.2023,298.20,304.20,295.40,296.00,44208,0.74,23
06.03.2023,291.20,304.80,291.20,302.00,63594,-3.58,24
03.03.2023,290.00,294.00,287.00,291.20,33967,-0.41,25
02.03.2023,299.80,299.80,284.40,286.20,51723,4.75,26
01.03.2023,296.60,302.20,296.20,300.00,51499,-1.13,27
28.02.2023,294.00,301.80,294.00,298.80,98105,-1.61,28
27.02.2023,290.00,298.60,287.20,296.60,40422,-2.23,29
24.02.2023,284.20,289.20,281.40,285.60,45182,-0.49,30
23.02.2023,285.00,285.00,280.00,281.60,22323,1.21,31
22.02.2023,287.00,287.00,278.60,280.80,35363,2.21,32
21.02.2023,289.60,289.60,281.60,285.00,169752,1.61,33
20.02.2023,290.00,290.00,284.60,287.60,18135,0.83,34
17.02.2023,288.20,290.00,285.00,287.20,62328,0.35,35
16.02.2023,290.60,291.20,276.00,289.20,188442,0.48,36
15.02.2023,288.00,291.40,286.80,289.80,32199,-0.62,37
14.02.2023,288.80,291.00,284.00,288.00,23001,0.28,38
13.02.2023,290.00,291.40,282.00,285.00,33571,1.75,39
10.02.2023,290.00,290.00,282.00,284.80,48109,1.83,40
09.02.2023,286.60,292.40,286.20,288.80,32232,-0.76,41
08.02.2023,285.40,289.80,285.00,286.60,31367,-0.42,42
07.02.2023,286.60,287.40,282.60,284.00,30285,0.92,43
06.02.2023,289.60,290.00,281.60,282.60,63499,2.48,44
03.02.2023,288.60,292.00,284.00,290.00,36233,-0.48,45
02.02.2023,288.60,290.80,280.00,287.20,60409,0.49,46
01.02.2023,287.00,287.60,278.60,283.00,53495,1.41,47
31.01.2023,281.60,287.80,279.60,287.00,72522,-1.88,48
30.01.2023,281.00,284.60,279.20,281.60,61756,-0.21,49
27.01.2023,286.60,288.60,280.40,282.40,35332,1.49,50
